		Original				Lowpass				Rescan				Conv				Super Pixel				Time Taken
Image Number	Actual	TP	FP	FN	F-Score	TP	FP	FN	F-Score	TP	FP	FN	F-Score	TP	FP	FN	F-Score	TP	FP	FN	F-Score	
0	0	0	8	0	0	0	9	0	0	0	9	0	0	0	5	0	0	0	0	0	#DIV/0!	8.8
1	3	2	3	1	0.5	3	3	0	0.666666667	3	3	0	0.666666667	3	4	0	0.6	0	0	3	0	11
2	0	0	2	0	0	0	7	0	0	0	4	0	0	0	8	0	0	0	0	0	#DIV/0!	21.1
3	0	0	4	0	0	0	5	0	0	0	5	0	0	0	9	0	0	0	0	0	#DIV/0!	4
4	2	2	2	0	0.666666667	2	4	0	0.5	2	2	0	0.666666667	2	3	0	0.571428571	1	0	1	0.666666667	35.9
5	1	1	9	0	0.181818182	1	23	0	0.08	1	17	0	0.105263158	1	6	0	0.25	1	0	0	1	10.1
6	1	1	4	0	0.333333333	1	3	0	0.4	1	13	0	0.133333333	1	3	0	0.4	1	0	0	1	21.2
7	0	0	4	0	0	0	3	0	0	0	6	0	0	0	13	0	0	0	0	0	#DIV/0!	15.2
8	0	0	4	0	0	0	3	0	0	0	6	0	0	0	8	0	0	0	0	0	#DIV/0!	24.1
9	3	3	0	0	1	3	0	0	1	2	0	1	0.8	3	0	0	1	2	0	1	0.8	13.3
10	0	0	2	0	0	0	5	0	0	0	1	0	0	0	7	0	0	0	0	0	#DIV/0!	9.3
11	0	0	0	0	#DIV/0!	0	0	0	#DIV/0!	0	0	0	#DIV/0!	0	2	0	0	0	0	0	#DIV/0!	3.3
12	0	0	0	0	#DIV/0!	0	0	0	#DIV/0!	0	0	0	#DIV/0!	0	0	0	#DIV/0!	0	0	0	#DIV/0!	3.2
13	0	0	1	0	0	0	9	0	0	0	4	0	0	0	7	0	0	0	0	0	#DIV/0!	22.3
14	3	3	2	0	0.75	3	1	0	0.857142857	3	2	0	0.75	3	0	0	1	1	0	2	0.5	8.9
15	0	0	1	0	0	0	2	0	0	0	3	0	0	0	2	0	0	0	0	0	#DIV/0!	20.5
16	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	5.2
17	0	0	2	0	0	0	4	0	0	0	2	0	0	0	4	0	0	0	0	0	#DIV/0!	9.7
18	0	0	3	0	0	0	4	0	0	0	2	0	0	0	10	0	0	0	0	0	#DIV/0!	4.1
19	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	4.5
20	1	1	2	0	0.5	1	3	0	0.4	1	3	0	0.4	1	5	0	0.285714286	0	0	1	0	30.5
21	0	0	1	0	0	0	4	0	0	0	6	0	0	0	1	0	0	0	0	0	#DIV/0!	11.9
22	3	3	2	0	0.75	3	0	0	1	3	1	0	0.857142857	3	2	0	0.75	1	0	2	0.5	33.2
23	3	3	3	0	0.666666667	3	2	0	0.75	3	2	0	0.75	3	1	0	0.857142857	3	0	0	1	30.9
24	0	0	0	0	#DIV/0!	0	0	0	#DIV/0!	0	0	0	#DIV/0!	0	0	0	#DIV/0!	0	0	0	#DIV/0!	3.1
25	3	0	0	3	0	1	0	2	0.5	1	0	2	0.5	2	0	1	0.8	1	0	2	0.5	3.1
26	0	0	55	0	0	0	43	0	0	0	32	0	0	0	17	0	0	0	0	0	#DIV/0!	22.9
27	0	0	25	0	0	0	22	0	0	0	26	0	0	0	29	0	0	0	0	0	#DIV/0!	11
28	0	0	2	0	0	0	2	0	0	0	3	0	0	0	5	0	0	0	0	0	#DIV/0!	13.1
29	2	1	2	1	0.4	1	1	1	0.5	1	1	1	0.5	1	1	1	0.5	1	0	1	0.666666667	7.3
Totals	27	21	143	6	0.219895288	23	162	4	0.216981132	23	153	4	0.226600985	25	152	2	0.245098039	12	0	15	0.615384615	422.7
